???	нсв_есть	есть¹
???	нсв_b/c_клясть	клясть
1	нсв_1a	обжимать
1	нсв_1a	царапать
1	нсв_1a	прельщать
1	нсв_1a	утеснять
1	нсв_1a	черпать
1	нсв_1a	закапывать²
1	нсв_1a	затачивать²
1	нсв_1a	впитывать
1	нсв_1a	стёсывать
1	нсв_1a	намыливать
1	нсв_1a	напускать
1	нсв_1a	обмачивать
1	нсв_1a	оглашать
1	нсв_1a	опьянять
1	нсв_1a	навеивать
1	нсв_1a	напудривать
1	нсв_1a	затепливать
1	нсв_1a	запаковывать
1	нсв_1a	выпускать
1	нсв_1a	прокашливать
1	нсв_1a	набрасывать¹
1	нсв_1a	облезать¹
1	нсв_1a	подламывать
1	нсв_1a	счищать
1	нсв_1a	озеленять
1	нсв_1a	разжёвывать
1	нсв_1a	разубирать
1	нсв_1a	застёгивать²
1	нсв_1a	утончать
1	нсв_1a	выдувать
1	нсв_1a	прозванивать
1	нсв_1a	опарывать
1	нсв_1a	передешевлять
1	нсв_1a	выламывать
1	нсв_1a	подстригать
1	нсв_1a	передаривать
1	нсв_1a	перенимать
1	нсв_1a	выдирать
1	нсв_1a	развеселять
1	нсв_1a	вытрёпывать
1	нсв_1a	сцеживать
1	нсв_1a	переобучать
1	нсв_1a	наскребать
1	нсв_1a	опоясывать
1	нсв_1a	зачитывать¹
1	нсв_1a	сокращать
1	нсв_1a	переодевать
1	нсв_1a	обшныривать
1	нсв_1a	просаливать²
1	нсв_1a	укомплектовывать
1	нсв_1a	выдалбливать
1	нсв_1a	прируливать
1	нсв_1a	высвистывать
1	нсв_1a	отсылать
1	нсв_1a	перелагать
1	нсв_1a	вторачивать
1	нсв_1a	восхвалять
1	нсв_1a	наказывать
1	нсв_1a	расчёркивать
1	нсв_1a	прономеровывать
1	нсв_1a	пробуждать
1	нсв_1a	запирать
1	нсв_1a	просветлять
1	нсв_1a	спугивать
1	нсв_1a	пересучивать
1	нсв_1a	перегрызать
1	нсв_1a	распинать¹
1	нсв_1a	обесчещивать
1	нсв_1a	упразднять
1	нсв_1a	укорять
1	нсв_1a	заготовлять
1	нсв_1a	приукрашивать
1	нсв_1a	пересахаривать
1	нсв_1a	зашпандоривать
1	нсв_1a	выплетать
1	нсв_1a	глотать
1	нсв_1a	залечивать
1	нсв_1a	изощрять
1	нсв_1a	взрывать²
1	нсв_1a	принимать
1	нсв_1a	переряживать
1	нсв_1a	насекать
1	нсв_1a	перевьючивать
1	нсв_1a	доживать
1	нсв_1a	прожимать
1	нсв_1a	просыпать²
1	нсв_1a	умыкать
1	нсв_1a	обтяпывать
1	нсв_1a	досаливать¹
1	нсв_1a	исполнять
1	нсв_1a	подстерегать
1	нсв_1a	переспрашивать
1	нсв_1a	разутюживать
1	нсв_1a	недожинать
1	нсв_1a	изживать
1	нсв_1a	согревать
1	нсв_1a	скачивать²
1	нсв_1a	растачивать¹
1	нсв_1a	ублаготворять
1	нсв_1a	домётывать³
1	нсв_1a	изрывать²
1	нсв_1a	выбуравливать
1	нсв_1a	пробегать
1	нсв_1a	выпекать
1	нсв_1a	изрезывать
1	нсв_1a	отстреливать²
1	нсв_1a	отодвигать
1	нсв_1a	встряхивать
1	нсв_1a	раскрепощать
1	нсв_1a	подзубривать
1	нсв_1a	напружинивать
1	нсв_1a	всаживать
1	нсв_1a	вкапывать²
1	нсв_1a	омертвлять
1	нсв_1a	обкалывать
1	нсв_1a	высказывать
1	нсв_1a	передаивать
1	нсв_1a	отхлопывать
1	нсв_1a	шваркать
1	нсв_1a	проверять
1	нсв_1a	нажимать
1	нсв_1a	сплачивать
1	нсв_1a	обсказывать
1	нсв_1a	обзывать
1	нсв_1a	достригать
1	нсв_1a	разъезживать
1	нсв_1a	раскабалять
1	нсв_1a	выспаривать
1	нсв_1a	основывать
1	нсв_1a	настирывать
1	нсв_1a	удивлять
1	нсв_1a	смётывать¹
1	нсв_1a	искармливать
1	нсв_1a	вызванивать
1	нсв_1a	откапывать¹
1	нсв_1a	разрывать²
1	нсв_1a	исхаживать
1	нсв_1a	расшатывать
1	нсв_1a	отгораживать
1	нсв_1a	застругивать
1	нсв_1a	выпиливать
1	нсв_1a	испиливать
1	нсв_1a	проскрёбывать
1	нсв_1a	вынюхивать
1	нсв_1a	размаривать
1	нсв_1a	исстёгивать
1	нсв_1a	развенчивать
1	нсв_1a	венчать
1	нсв_1a	высватывать
1	нсв_1a	подманивать
1	нсв_1a	восполнять
1	нсв_1a	смаривать
1	нсв_1a	заронять
1	нсв_1a	сшибать
1	нсв_1a	упокоевать
1	нсв_1a	схлёбывать
1	нсв_1a	заклёпывать
1	нсв_1a	притаскивать
1	нсв_1a	осенять
1	нсв_1a	дотачивать¹
1	нсв_1a	перепрашивать
1	нсв_1a	перестуживать
1	нсв_1a	зачехлять
1	нсв_1a	урезонивать
1	нсв_1a	уяснять
1	нсв_1a	отучивать
1	нсв_1a	поднимать
1	нсв_1a	подрезать
1	нсв_1a	развёртывать
1	нсв_1a	переселять
1	нсв_1a	привечать
1	нсв_1a	изминать
1	нсв_1a	стаскивать
1	нсв_1a	нажигать
1	нсв_1a	подкрашивать¹
1	нсв_1a	подворовывать
1	нсв_1a	противополагать
1	нсв_1a	отделять
1	нсв_1a	навещать
1	нсв_1a	надвивать
1	нсв_1a	устилать
1	нсв_1a	распаивать
1	нсв_1a	сталкивать
1	нсв_1a	догуливать
1	нсв_1a	ляпать
1	нсв_1a	изукрашивать
1	нсв_1a	отсеивать
1	нсв_1a	дописывать
1	нсв_1a	замариновывать
1	нсв_1a	бацать
1	нсв_1a	подписывать
1	нсв_1a	перераспределять
1	нсв_1a	протравлять
1	нсв_1a	обезнадёживать
1	нсв_1a	образовывать
1	нсв_1a	подменивать
1	нсв_1a	распирать
1	нсв_1a	отыгрывать
1	нсв_1a	отлёживать
1	нсв_1a	наливать
1	нсв_1a	выдаивать
1	нсв_1a	побуждать
1	нсв_1a	переплывать
1	нсв_1a	прикраивать
1	нсв_1a	переборанивать
1	нсв_1a	пропивать
1	нсв_1a	подвяливать
